"ID","Birth.date","Development.Treatment","Calan.Treatment","Pen..","Initial.BW","Final.BW","DMI","ADG","Gest.Length","Calved.First.21.Days","X1st.Calf.BW","Calving.Ease","Calf.Vigor","Birth.date.1","Sire","SEX","Final.Calf.BW","HCW","REA","YG","BF"
600,12,5,2,4,76,43,47,71,8,2,18,1,1,17,3,3,23,28,26,59,81
602,44,7,1,3,5,61,60,59,8,2,22,2,1,20,1,2,50,55,22,70,87
604,15,7,3,4,27,59,26,46,8,2,15,1,1,20,1,2,27,32,54,22,42
606,5,7,1,4,82,1,4,13,12,2,14,1,1,32,3,2,12,17,13,45,59
610,24,5,2,1,99,42,51,47,4,2,19,1,2,9,2,3,38,43,24,18,10
611,23,4,2,1,18,84,71,86,8,2,8,1,1,20,3,3,44,49,40,60,75
617,19,7,1,1,14,25,6,27,8,2,15,1,1,24,1,3,44,49,45,17,44
618,32,7,2,3,1,78,66,88,7,2,12,1,1,17,1,3,54,59,84,17,34
620,17,5,3,4,92,64,46,79,6,2,26,2,1,14,3,3,57,62,94,3,2
622,23,4,1,1,45,69,72,39,4,2,11,1,3,9,3,3,26,31,92,2,6
634,34,5,3,3,98,70,70,82,11,2,30,3,2,29,1,3,44,49,11,48,33
637,18,4,1,4,79,33,73,56,11,2,8,1,1,26,2,2,4,9,37,35,65
638,31,4,1,2,65,13,9,56,7,2,17,2,1,17,3,2,45,50,77,23,58
640,35,5,3,1,3,80,53,91,10,2,23,1,1,26,2,3,30,35,18,25,16
645,3,4,3,1,97,73,19,85,4,2,18,1,3,9,3,2,16,21,50,22,51
648,29,5,3,2,86,55,61,73,7,2,7,1,1,17,1,2,2,7,4,21,18
650,5,7,3,3,27,58,55,45,4,2,9,1,1,9,3,2,20,25,52,11,15
651,36,4,2,2,24,82,64,74,9,2,25,1,2,23,3,3,56,61,69,18,20
652,28,5,1,2,92,31,67,44,19,1,26,1,1,38,1,3,28,33,6,54,43
653,31,4,1,4,56,69,40,30,6,2,27,1,3,14,3,2,33,38,73,25,62
661,32,7,3,2,10,79,63,87,14,2,13,1,1,35,3,3,15,20,43,21,42
662,36,5,2,3,94,50,52,56,11,2,13,1,1,26,2,3,44,49,45,17,44
